START_DATE,Start Time,END_DATE,End time,CATEGORY,START,STOP,MILES,KM,PURPOSE,Ride Duration(Minutes) ,Ride Duration(Hour),Speed(Miles/hour),,,
01-01-2016,09:11:00 PM,01-01-2016,09:17:00 PM,Business,Fort Pierce,Fort Pierce,5.1,8.2059,Meal/Entertain,00:06:00,0.1,51,,,
01-02-2016,01:25:00 AM,01-02-2016,01:37:00 AM,Business,Fort Pierce,Fort Pierce,5,8.045,,00:12:00,0.2,25,,,
01-02-2016,08:25:00 PM,01-02-2016,08:38:00 PM,Business,Fort Pierce,Fort Pierce,4.8,7.7232,Errand/Supplies,00:13:00,0.216666667,22.15384615,,,
01-05-2016,05:31:00 PM,01-05-2016,05:45:00 PM,Business,Fort Pierce,Fort Pierce,4.7,7.5623,Meeting,00:14:00,0.233333333,20.14285714,,IQR,
01-06-2016,02:42:00 PM,01-06-2016,03:49:00 PM,Business,Fort Pierce,West Palm Beach,63.7,102.4933,Customer Visit,01:07:00,1.116666667,57.04477612,,,
01-06-2016,05:15:00 PM,01-06-2016,05:19:00 PM,Business,West Palm Beach,West Palm Beach,4.3,6.9187,Meal/Entertain,00:04:00,0.066666667,64.5,,Q1,13.5
01-06-2016,05:30:00 PM,01-06-2016,05:35:00 PM,Business,West Palm Beach,Palm Beach,7.1,11.4239,Meeting,00:05:00,0.083333333,85.2,,Q3,27.76607143
01-07-2016,01:27:00 PM,01-07-2016,01:33:00 PM,Business,Cary,Cary,0.8,1.2872,Meeting,00:06:00,0.1,8,,IQR,14.26607143
01-10-2016,08:05:00 AM,01-10-2016,08:25:00 AM,Business,Cary,Morrisville,8.3,13.3547,Meeting,00:20:00,0.333333333,24.9,,,
01-10-2016,12:17:00 PM,01-10-2016,12:44:00 PM,Business,Jamaica,New York,16.5,26.5485,Customer Visit,00:27:00,0.45,36.66666667,,LL,-7.899107143
01-10-2016,03:08:00 PM,01-10-2016,03:51:00 PM,Business,New York,Queens,10.8,17.3772,Meeting,00:43:00,0.716666667,15.06976744,,UL,49.16517857
01-10-2016,06:18:00 PM,01-10-2016,06:53:00 PM,Business,Elmhurst,New York,7.5,12.0675,Meeting,00:35:00,0.583333333,12.85714286,,,
01-10-2016,07:12:00 PM,01-10-2016,07:32:00 PM,Business,Midtown,East Harlem,6.2,9.9758,Meeting,00:20:00,0.333333333,18.6,,,
01-11-2016,08:55:00 AM,01-11-2016,09:21:00 AM,Business,East Harlem,NoMad,6.4,10.2976,Temporary Site,00:26:00,0.433333333,14.76923077,,,
01-11-2016,11:56:00 AM,01-11-2016,12:03:00 PM,Business,Flatiron District,Midtown,1.6,2.5744,Errand/Supplies,00:07:00,0.116666667,13.71428571,,,
01-11-2016,01:32:00 PM,01-11-2016,01:46:00 PM,Business,Midtown,Midtown East,1.7,2.7353,Meal/Entertain,00:14:00,0.233333333,7.285714286,,,
01-11-2016,02:30:00 PM,01-11-2016,02:43:00 PM,Business,Midtown East,Midtown,1.9,3.0571,Meal/Entertain,00:13:00,0.216666667,8.769230769,,,
01-12-2016,12:33:00 PM,01-12-2016,12:49:00 PM,Business,Midtown,Hudson Square,1.9,3.0571,Meal/Entertain,00:16:00,0.266666667,7.125,,,
